index,status,a,b,c,verilog
0,MATCH,2097,996,1559,1559
1,MATCH,2703,1013,2762,2762
2,MATCH,435,1074,1617,1617
3,MATCH,1006,1329,1329,1329
4,MATCH,2180,1342,2508,2508
5,MATCH,2340,1856,2402,2402
6,MATCH,1394,1916,3183,3183
7,MATCH,1999,2445,981,981
8,MATCH,2914,2481,1563,1563
9,MATCH,1869,332,2747,2747
10,MATCH,2988,1040,2232,2232
11,MATCH,217,1643,1867,1867
12,MATCH,1768,2696,1250,1250
13,MATCH,799,2329,3176,3176
14,MATCH,2656,1087,1503,1503
15,MATCH,2366,2824,2348,2348
16,MATCH,3153,3231,1044,1044
17,MATCH,249,3190,491,491
18,MATCH,3115,2244,1246,1246
19,MATCH,2072,3015,737,737
20,MATCH,1230,3227,2013,2013
21,MATCH,2045,1700,1392,1392
22,MATCH,3313,2038,1753,1753
23,MATCH,2558,438,2411,2411
24,MATCH,512,2394,247,247
25,MATCH,1183,137,1359,1359
26,MATCH,2758,2427,2534,2534
27,MATCH,2548,748,506,506
28,MATCH,2610,2284,2212,2212
29,MATCH,40,2747,1393,1393
30,MATCH,1424,3204,2042,2042
31,MATCH,1668,2140,1847,1847
32,MATCH,333,2377,2015,2015
33,MATCH,655,1561,600,600
34,MATCH,737,3155,3221,3221
35,MATCH,1097,38,2133,2133
36,MATCH,500,2669,2306,2306
37,MATCH,2275,461,1396,1396
38,MATCH,2790,1808,3190,3190
39,MATCH,1679,598,2943,2943
40,MATCH,648,1971,2287,2287
41,MATCH,2398,550,1158,1158
42,MATCH,503,729,3009,3009
43,MATCH,116,204,586,586
44,MATCH,1091,1239,1739,1739
45,MATCH,329,1982,845,845
46,MATCH,1551,1109,2088,2088
47,MATCH,1140,321,1115,1115
48,MATCH,1150,1850,628,628
49,MATCH,2388,1259,1875,1875
50,MATCH,987,2670,1535,1535
51,MATCH,111,2669,1775,1775
52,MATCH,895,1669,3125,3125
53,MATCH,3277,1873,3117,3117
54,MATCH,2062,2272,1296,1296
55,MATCH,479,543,3274,3274
56,MATCH,2184,516,370,370
57,MATCH,2066,2197,773,773
58,MATCH,2099,596,212,212
59,MATCH,1118,2204,836,836
60,MATCH,1392,453,2208,2208
61,MATCH,2886,2435,2293,2293
62,MATCH,703,1079,2760,2760
63,MATCH,3085,3143,1570,1570
64,MATCH,2676,1483,1312,1312
65,MATCH,1363,1841,899,899
66,MATCH,2984,149,739,739
67,MATCH,13,42,2445,2445
68,MATCH,1908,1062,1585,1585
69,MATCH,1189,1227,738,738
70,MATCH,1691,1223,378,378
71,MATCH,2923,357,1750,1750
72,MATCH,1619,1677,2064,2064
73,MATCH,410,134,2182,2182
74,MATCH,3114,702,1682,1682
75,MATCH,2388,1087,2097,2097
76,MATCH,2749,2329,1945,1945
77,MATCH,581,1364,3202,3202
78,MATCH,2114,632,1798,1798
79,MATCH,1842,1958,494,494
80,MATCH,533,67,2546,2546
81,MATCH,1166,1469,1825,1825
82,MATCH,1030,552,298,298
83,MATCH,1538,1962,274,274
84,MATCH,3124,1253,602,602
85,MATCH,2644,2116,61,61
86,MATCH,868,2876,2894,2894
87,MATCH,1807,3038,1820,1820
88,MATCH,1334,416,1323,1323
89,MATCH,2818,923,2079,2079
90,MATCH,1119,1172,3131,3131
91,MATCH,3180,1961,2182,2182
92,MATCH,1815,461,2210,2210
93,MATCH,3039,3130,592,592
94,MATCH,1798,2245,83,83
95,MATCH,1395,802,131,131
96,MATCH,992,82,2351,2351
97,MATCH,1851,3085,1853,1853
98,MATCH,2446,2861,538,538
99,MATCH,1527,3143,1656,1656
100,MATCH,333,3076,1009,1009
101,MATCH,3065,99,1215,1215
102,MATCH,1569,1018,3107,3107
103,MATCH,1812,245,1567,1567
104,MATCH,2927,2777,1255,1255
105,MATCH,2690,1926,3044,3044
106,MATCH,2003,3054,159,159
107,MATCH,441,391,3033,3033
108,MATCH,2414,3128,1574,1574
109,MATCH,2625,1838,2872,2872
110,MATCH,1239,536,900,900
111,MATCH,1321,2433,2005,2005
112,MATCH,1192,3172,971,971
113,MATCH,2638,2107,1607,1607
114,MATCH,1987,408,1949,1949
115,MATCH,474,670,0,0
116,MATCH,578,416,2227,2227
117,MATCH,2236,796,454,454
118,MATCH,1378,2849,481,481
119,MATCH,1851,85,2161,2161
120,MATCH,1122,720,3242,3242
121,MATCH,2901,2275,2308,2308
122,MATCH,1532,1863,340,340
123,MATCH,1929,2627,429,429
124,MATCH,25,444,1139,1139
125,MATCH,1157,121,1549,1549
126,MATCH,53,1428,2930,2930
127,MATCH,1328,1086,2701,2701
128,MATCH,341,3168,2471,2471
129,MATCH,450,2134,380,380
130,MATCH,1424,2985,2125,2125
131,MATCH,2835,2055,1728,1728
132,MATCH,2532,1907,337,337
133,MATCH,59,195,124,124
134,MATCH,148,1383,614,614
135,MATCH,391,2539,1013,1013
136,MATCH,3233,1578,3245,3245
137,MATCH,1454,1790,1602,1602
138,MATCH,805,1694,1000,1000
139,MATCH,2289,3024,593,593
140,MATCH,3057,321,643,643
141,MATCH,3200,2210,1250,1250
142,MATCH,2413,1742,2450,2450
143,MATCH,1709,722,454,454
144,MATCH,1933,1446,2246,2246
145,MATCH,106,1244,2537,2537
146,MATCH,1557,1809,2724,2724
147,MATCH,2759,1989,1666,1666
148,MATCH,2753,679,2433,2433
149,MATCH,2864,1024,1317,1317
150,MATCH,1990,54,2136,2136
151,MATCH,750,2895,1541,1541
152,MATCH,3311,1088,550,550
153,MATCH,2553,532,2476,2476
154,MATCH,2670,2548,920,920
155,MATCH,418,417,1287,1287
156,MATCH,3233,995,1496,1496
157,MATCH,2799,493,2993,2993
158,MATCH,2003,2701,484,484
159,MATCH,1194,987,1417,1417
160,MATCH,2206,114,2847,2847
161,MATCH,1529,2232,72,72
162,MATCH,2890,1204,1282,1282
163,MATCH,3122,3031,5,5
164,MATCH,928,1682,621,621
165,MATCH,1384,1649,1113,1113
166,MATCH,2860,2163,2285,2285
167,MATCH,2599,2806,796,796
168,MATCH,1519,204,2623,2623
169,MATCH,1817,61,854,854
170,MATCH,2424,652,2337,2337
171,MATCH,281,2400,655,655
172,MATCH,1208,1076,2128,2128
173,MATCH,3072,1259,530,530
174,MATCH,3081,1968,245,245
175,MATCH,2785,1517,1169,1169
176,MATCH,778,1530,2804,2804
177,MATCH,656,989,1012,1012
178,MATCH,2577,3236,904,904
179,MATCH,1853,2200,943,943
180,MATCH,313,778,1232,1232
181,MATCH,515,3054,2425,2425
182,MATCH,1179,2611,177,177
183,MATCH,69,123,2941,2941
184,MATCH,2229,943,986,986
185,MATCH,2190,1426,2898,2898
186,MATCH,2183,1652,1302,1302
187,MATCH,1537,173,1310,1310
188,MATCH,1558,2034,528,528
189,MATCH,2732,2201,1909,1909
190,MATCH,178,1010,902,902
191,MATCH,1858,158,650,650
192,MATCH,458,2083,1694,1694
193,MATCH,243,2013,287,287
194,MATCH,145,2796,32,32
195,MATCH,3073,966,2369,2369
196,MATCH,3010,922,1141,1141
197,MATCH,1920,2671,2931,2931
198,MATCH,234,1485,165,165
199,MATCH,236,1526,585,585
200,MATCH,921,2601,1147,1147
201,MATCH,710,1427,483,483
202,MATCH,3077,2967,3041,3041
203,MATCH,710,3307,1899,1899
204,MATCH,2312,2213,25,25
205,MATCH,2521,948,2700,2700
206,MATCH,3040,2703,1340,1340
207,MATCH,1073,2346,1803,1803
208,MATCH,2498,1416,1687,1687
209,MATCH,3209,2553,1994,1994
210,MATCH,310,961,210,210
211,MATCH,2818,3126,1956,1956
212,MATCH,1828,1488,2937,2937
213,MATCH,387,3165,2210,2210
214,MATCH,980,2233,3304,3304
215,MATCH,1445,3264,277,277
216,MATCH,2514,1710,2266,2266
217,MATCH,876,2344,344,344
218,MATCH,915,2240,1851,1851
219,MATCH,2097,1210,2227,2227
220,MATCH,1626,2988,2539,2539
221,MATCH,1643,343,2665,2665
222,MATCH,1864,78,540,540
223,MATCH,1652,1796,203,203
224,MATCH,2731,945,83,83
225,MATCH,984,1351,1790,1790
226,MATCH,1776,137,2398,2398
227,MATCH,1863,1185,466,466
228,MATCH,849,1505,646,646
229,MATCH,2090,454,1503,1503
230,MATCH,1455,1909,2110,2110
231,MATCH,1979,1974,3276,3276
232,MATCH,1683,174,495,495
233,MATCH,78,495,1284,1284
234,MATCH,232,2482,2200,2200
235,MATCH,3286,15,2044,2044
236,MATCH,2162,913,1232,1232
237,MATCH,1747,2988,1656,1656
238,MATCH,1471,201,2423,2423
239,MATCH,2333,2004,391,391
240,MATCH,1475,1154,1697,1697
241,MATCH,64,139,2236,2236
242,MATCH,1753,1597,3123,3123
243,MATCH,971,1610,1873,1873
244,MATCH,2037,2601,2718,2718
245,MATCH,3235,1709,927,927
246,MATCH,852,772,2714,2714
247,MATCH,2410,1466,1677,1677
248,MATCH,1392,1284,2327,2327
249,MATCH,333,3022,1913,1913
250,MATCH,1110,3167,0,0
251,MATCH,8,2824,1093,1093
252,MATCH,1675,3110,1022,1022
253,MATCH,1057,1746,759,759
254,MATCH,2983,1897,1239,1239
255,MATCH,1509,497,1820,1820
